year,month,value
1930,04,-1.04
1930,05,-0.97
1930,06,-0.99
1930,07,-0.88
1930,08,-1.11
1930,09,-0.93
1930,10,-0.73
1930,11,-0.49
1930,12,-0.6
1931,01,-0.73
1931,02,-0.5
1931,03,-0.41
1931,04,-0.56
1931,05,-0.56
1931,06,-0.72
1931,07,-1.11
1931,08,-0.91
1931,09,-0.82
1931,10,-0.84
1931,11,-0.99
1931,12,-0.83
1932,01,-1.02
1932,02,-0.88
1932,03,-0.99
1932,04,-0.91
1932,05,-1.62
1932,06,-1.96
1932,07,-1.83
1932,08,-1.77
1932,09,-1.8
1932,10,-1.51
1932,11,-0.93
1932,12,-0.84
1933,01,-0.69
1933,02,-0.72
1933,03,-0.84
1933,04,-0.8
1933,05,-1.09
1933,06,-0.75
1933,07,-0.46
1933,08,-0.8
1933,09,-0.83
1933,10,-0.15
1933,11,-0.38
1933,12,-0.39
1934,01,-0.98
1934,02,-1
1934,03,-0.96
1934,04,-0.86
1934,05,-0.62
1934,06,-0.12
1934,07,0.01
1934,08,0.21
1934,09,-0.02
1934,10,-0.58
1934,11,-0.79
1934,12,-0.36
1935,01,-0.5
1935,02,-0.84
1935,03,-0.91
1935,04,-0.84
1935,05,-0.93
1935,06,-0.63
1935,07,-0.93
1935,08,-0.86
1935,09,-0.93
1935,10,-0.67
1935,11,-0.31
1935,12,-0.41
1936,01,-0.48
1936,02,-0.56
1936,03,-0.97
1936,04,-0.74
1936,05,-1.37
1936,06,-1.81
1936,07,-1.67
1936,08,-1.6
1936,09,-1.21
1936,10,-1.04
1936,11,-0.71
1936,12,-0.86
1937,01,-0.58
1937,02,-0.41
1937,03,-0.56
1937,04,-0.18
1937,05,-0.35
1937,06,0.3
1937,07,-0.41
1937,08,-0.73
1937,09,-0.43
1937,10,-0.17
1937,11,-0.18
1937,12,-0.11
1938,01,-0.34
1938,02,-0.27
1938,03,-0.33
1938,04,-0.29
1938,05,-0.71
1938,06,-0.92
1938,07,-1.2
1938,08,-1.02
1938,09,-0.77
1938,10,-0.43
1938,11,-0.98
1938,12,-0.84
1939,01,-0.93
1939,02,-1.1
1939,03,-1.19
1939,04,-0.59
1939,05,-0.27
1939,06,0.04
1939,07,-0.39
1939,08,-0.93
1939,09,-2.28
1939,10,-2.47
1939,11,-1.89
1939,12,-1.09
1940,01,-0.7
1940,02,-0.89
1940,03,-1.8
1940,04,-2.03
1940,05,-1.5
1940,06,-0.99
1940,07,-1.08
1940,08,-0.95
1940,09,-1.12
1940,10,-0.66
1940,11,-1.03
1940,12,-1.27
1941,01,-0.7
1941,02,-0.35
1941,03,-0.14
1941,04,0.35
1941,05,0
1941,06,-0.07
1941,07,-0.26
1941,08,-0.59
1941,09,-0.61
1941,10,-0.33
1941,11,-0.12
1941,12,-0.25
1942,01,-1.63
1942,02,-0.06
1942,03,0.57
1942,04,-0.07
1942,05,-1.29
1942,06,-0.59
1942,07,-0.69
1942,08,-1.34
1942,09,-0.83
1942,10,-0.33
1942,11,-0.57
1942,12,-0.75
1943,01,-1.96
1943,02,-1.11
1943,03,-0.86
1943,04,-0.64
1943,05,-0.64
1943,06,-0.42
1943,07,-0.5
1943,08,-0.79
1943,09,-1.43
1943,10,-1.79
1943,11,-0.78
1943,12,-1.23
1944,01,-1.24
1944,02,1.04
1944,03,0.9
1944,04,0.43
1944,05,-0.67
1944,06,-0.38
1944,07,-0.22
1944,08,-0.58
1944,09,-0.11
1944,10,0.1
1944,11,0.91
1944,12,0.91
1945,01,0.88
1945,02,0.47
1945,03,0.04
1945,04,-0.25
1945,05,0.03
1945,06,-0.25
1945,07,-0.73
1945,08,-0.85
1945,09,-0.35
1945,10,-1.18
1945,11,-0.23
